company,strategy_total_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe_ratio,strategy_max_drawdown,strategy_hit_ratio,strategy_observations,benchmark_50_50_total_return,benchmark_50_50_annualized_return,benchmark_50_50_annualized_volatility,benchmark_50_50_sharpe_ratio,benchmark_50_50_max_drawdown,benchmark_50_50_hit_ratio,benchmark_50_50_observations,ibovespa_total_return,ibovespa_annualized_return,ibovespa_annualized_volatility,ibovespa_sharpe_ratio,ibovespa_max_drawdown,ibovespa_hit_ratio,ibovespa_observations,strategy_final_value,benchmark_50_50_final_value,ibovespa_final_value,strategy_final_cumulative_return,benchmark_50_50_final_cumulative_return,ibovespa_final_cumulative_return,strategy_excess_return_vs_50_50,strategy_excess_return_vs_ibovespa,benchmark_50_50_excess_return_vs_ibovespa,total_tax_paid,total_transaction_cost,total_realized_pnl,gross_sale_value,gross_buy_value,number_of_trading_days,number_of_trade_days,final_weight_on,final_weight_pn,final_target_weight_on,final_target_weight_pn,policy_group,last_signal,final_accumulated_loss
BTG,4.361565576248531,0.32743432864247835,0.45830419466699174,0.714447592783643,-0.5136276812731522,0.48626925653047554,1494,2.3322514059409465,0.2251030869976638,0.4131675023562901,0.5448228278214118,-0.54559100962506,0.5016744809109176,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,5.356209366881649,3.3322514059409465,1.358867533080887,4.356209366881649,2.3322514059409465,0.35886753308088704,2.0293141703075848,4.002698043167644,1.9733838728600595,0.0,0.2346012684913587,4.653060340483728,117.41793487992503,117.18333361143367,1494,111,0.0,1.0,0.0,1.0,manual_inclusion_rotation,overweight_pn,0.0
UNIP,3.879683568547219,0.3065145660971398,0.3664875031650108,0.836357484088978,-0.5991251891300888,0.5036838580040187,1494,2.8669274053914853,0.2562433804865354,0.33973995165207704,0.7542338757643395,-0.5338722423240077,0.5090421969189551,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,4.874808759787431,3.8669274053914853,1.358867533080887,3.874808759787431,2.8669274053914853,0.35886753308088704,1.0127561631557338,3.520816035466332,2.5080598723105982,0.0,0.3044119889513301,4.076073362513402,152.3582004701407,152.05378848118937,1494,99,0.0,1.0,0.0,1.0,manual_inclusion_rotation,overweight_pn,0.0
ISAE,1.5880405279165188,0.1739720878969362,0.2114982286026112,0.822569952695993,-0.2640742080857339,0.5016744809109176,1494,0.913766019464306,0.1157002105074374,0.19414822592414807,0.5959375109234344,-0.2467447372400714,0.5164099129269927,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,2.5854550728436756,1.913766019464306,1.358867533080887,1.5854550728436756,0.913766019464306,0.35886753308088704,0.6742745084522128,1.2291729948356318,0.554898486383419,0.0,0.1595627502046295,1.4181169035955405,79.86115647741705,79.70159372721244,1494,100,1.0,0.0,1.0,0.0,manual_inclusion_rotation,hold_previous_allocation,0.0
SAPR,1.3908493493284553,0.15838301306099023,0.3147623725786009,0.5031828034700673,-0.4636189711419255,0.48492967180174146,1494,0.8080094801547415,0.10505336444350966,0.3120030720093192,0.3367061861505384,-0.5251782002014329,0.5016744809109176,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,2.388460888440015,1.8080094801547415,1.358867533080887,1.3884608884400151,0.8080094801547415,0.35886753308088704,0.5828398691737138,1.0319818162475682,0.44914194707385446,0.0,0.10570950981311775,1.1709336043953031,52.90760966146543,52.80190015165231,1494,94,0.5172285204155685,0.48277147958443145,0.5,0.5,manual_inclusion_rotation,hold_previous_allocation,0.0
GGBR,1.248117829299145,0.14641794539474873,0.3877627001903102,0.37759677587062446,-0.6113453844314016,0.5056932350971199,1494,0.9197509139665272,0.11628797221749476,0.36955041060783705,0.3146741794339347,-0.6094617555174373,0.5117213663764233,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,2.245871957341804,1.9197509139665272,1.358867533080887,1.2458719573418038,0.9197509139665272,0.35886753308088704,0.32836691533261786,0.889250296218258,0.5608833808856402,0.0,0.09600104684529126,0.9785978988316,48.04852394606827,47.952522899222984,1494,61,1.0,0.0,1.0,0.0,balanced_reversion_rotation,overweight_on,0.11218395532597325
BBDC,-0.07112615003935152,-0.012368092663495145,0.3474307422675161,-0.035598728491251105,-0.5309352433112369,0.5023442732752846,1494,-0.09716714601519882,-0.017093778766550494,0.347448202127192,-0.04919806365926422,-0.5415849231990124,0.506363027461487,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,0.9279459040565918,0.9028328539848012,1.358867533080887,-0.07205409594340817,-0.09716714601519882,0.35886753308088704,0.026040995975847303,-0.42999368312023856,-0.45603467909608586,0.0,0.03239380387413852,-0.2924843436986662,16.213098839006328,16.180705035132192,1494,49,1.0,0.0,1.0,0.0,balanced_reversion_rotation,hold_previous_allocation,0.2924843436986662
PETR,2.4571476527415523,0.23273033808463683,0.4233456914951055,0.5497406558283765,-0.6497746132678262,0.522438044206296,1494,2.4435917314510514,0.23191368407270896,0.4231587851126367,0.5480535728709449,-0.6495352459827031,0.522438044206296,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,3.4571476527415523,3.4435917314510514,1.358867533080887,2.4571476527415523,2.4435917314510514,0.35886753308088704,0.013555921290500983,2.0982801196606653,2.0847241983701643,0.0,0.0008554245799988506,0.22350929346211745,0.4281400022894247,0.4272845777094259,1494,7,0.5059040176645803,0.49409598233541974,0.51,0.49,passive_tracking,overweight_on,0.0
ITUB,0.7873151848802675,0.10290968949670676,0.2874670172308705,0.35798781539538477,-0.4105492568305482,0.5090421969189551,1494,0.7853345074316334,0.10270343537016458,0.28691649875697656,0.3579558366810974,-0.4089712468206984,0.5110515740120563,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,1.7873151848802675,1.7853345074316334,1.358867533080887,0.7873151848802675,0.7853345074316334,0.35886753308088704,0.0019806774486341716,0.4284476517993805,0.4264669743507463,0.0,0.0019129381317087686,-0.10474982255885706,0.9574255349202386,0.9555125967885298,1494,40,0.47548708298465214,0.5245129170153479,0.475,0.525,statistical_fallback_rotation,overweight_pn,0.10474982255885708
RAPT,-0.45235417929428046,-0.09657619740057666,0.41664203288864665,-0.23179657782244928,-0.6350045463284244,0.4742129939718687,1494,-0.41132059044680425,-0.08549858120262743,0.3918864821232059,-0.2181718051089789,-0.6556812405537704,0.49296718017414604,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,0.5476458207057195,0.5886794095531958,1.358867533080887,-0.45235417929428046,-0.41132059044680425,0.35886753308088704,-0.04103358884747621,-0.8112217123751675,-0.7701881235276913,0.0,0.0646731702454849,-0.3205158698964573,32.368921707865184,32.3042485376197,1494,82,0.0,1.0,0.0,1.0,manual_inclusion_rotation,overweight_pn,0.5091167015806038
ALUP,0.5543639334941766,0.07723410782252649,0.2837913055447509,0.2721510712749707,-0.4005158387374904,0.506363027461487,1494,0.6215067599111634,0.08494565330804105,0.2515773319373542,0.3376522544932368,-0.2937336898469447,0.5123911587407903,1494,0.35886753308088704,0.05308544668780302,0.24341825340076537,0.2180832618185079,-0.4681580884813601,0.5157401205626256,1494,1.5543639334941766,1.6215067599111634,1.358867533080887,0.5543639334941766,0.6215067599111634,0.35886753308088704,-0.06714282641698688,0.19549640041328953,0.2626392268302764,0.0,0.23346396020917873,0.8530195570945523,116.84871208469394,116.61524812448478,1494,224,0.0,1.0,0.0,1.0,manual_inclusion_rotation,overweight_pn,0.0
