,realized_pnl,gross_sale_value,gross_buy_value,transaction_cost
2020-01-02,0.0,0.21000000000000002,0.20958041958041962,0.0004195804195804196
2020-01-03,0.0,0.0,0.0,0.0
2020-01-06,0.004834395518652413,0.04479443547869237,0.044704936107106574,8.949937158579895e-05
2020-01-07,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0
2020-01-09,0.0,0.024975024975024976,0.02492512482522473,4.99001498002497e-05
2020-01-10,-0.00033238376997874906,0.004592935807375786,0.004583759112455955,9.176694919831741e-06
2020-01-13,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0
2020-01-16,0.002637545104706396,0.0526375451047064,0.05253237518441728,0.0001051699202891237
2020-01-17,0.006366994596298884,0.036366994596298885,0.036294333268434155,7.266132786473304e-05
2020-01-20,0.0,0.0,0.0,0.0
2020-01-21,0.0005563347038652092,0.002558048118495817,0.002552937133244069,5.110985251739886e-06
2020-01-22,0.0021466052030399262,0.035293771837257,0.03522325481060913,7.051702664786613e-05
2020-01-23,-0.00030621507729031047,0.03491703973331882,0.03484727541816734,6.976431515148614e-05
2020-01-24,0.0,0.0,0.0,0.0
2020-01-27,0.0011070672577248818,0.037537821257892894,0.03746282061601899,7.500064187391188e-05
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.00016648197169762068,0.03416370299788983,0.034095443851040894,6.825914684893072e-05
2020-01-31,0.0,0.0,0.0,0.0
2020-02-03,0.00012969527445041512,0.0024790154413303167,0.002474062363525461,4.953077804855778e-06
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0020886053127573165,0.027063630287782293,0.027009557100394117,5.407318738817641e-05
2020-02-07,0.0,0.0,0.0,0.0
2020-02-10,-1.246454861087154e-05,0.002539471707593022,0.0025343978380473814,5.073869545640403e-06
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-26,0.00017661298979274737,0.001640156047788996,0.0016368790127284788,3.277035060517475e-06
2020-02-27,-0.012966297267286894,0.05342819512339977,0.05332144548279357,0.00010674964060619334
2020-02-28,-0.0033393837951051775,0.020201188749273104,0.020160826733790046,4.036201548306315e-05
2020-03-02,-0.001074379900434257,0.05540883416224664,0.055298127200883514,0.00011070696136313018
2020-03-03,-0.0022009712158528624,0.021071348828276694,0.0210292482312172,4.21005970594939e-05
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0031951772738870177,0.05331997065117222,0.05321343724327779,0.00010653340789445
