date,pair,ON,PN,target_weight_on,target_weight_pn,weight_on_before_trade,weight_pn_before_trade,weight_on,weight_pn,on_quantity,pn_quantity,on_average_cost,pn_average_cost,on_value,pn_value,cash,strategy_value,strategy_return,signal,traded,trade_direction,gross_sale_value,gross_buy_value,transaction_cost,realized_pnl,tax_paid,accumulated_loss,on_unrealized_pnl,pn_unrealized_pnl,on_quantity_before_trade,pn_quantity_before_trade,on_average_cost_before_trade,pn_average_cost_before_trade,strategy_cumulative_return,spread,spread_mean,spread_std,z_score,policy_group,policy_explanation,raw_target_weight_on,raw_target_weight_pn,raw_signal,signal_decision_date,signal_execution_lag,benchmark_50_50_value,benchmark_50_50_return,benchmark_50_50_cumulative_return,benchmark_50_50_weight_on,benchmark_50_50_weight_pn,ibovespa_value,ibovespa_return,ibovespa_cumulative_return,company,strategy_minus_50_50,strategy_minus_ibovespa,benchmark_50_50_minus_ibovespa
2020-01-02,GGBR,8.651947021484375,10.87578296661377,0.5,0.5,0.5,0.5,0.5,0.5,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,0.5,0.5,0.0,1.0,0.0,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,0.0,-0.22875418650913248,-0.23483897768616138,0.020864611392408607,0.2916321355135707,balanced_reversion_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.5,0.5,return_to_50_50,2019-12-30,1,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,GGBR,0.0,0.0,0.0
2020-01-03,GGBR,8.661763191223145,10.69766330718994,0.5,0.5,0.5044116742605309,0.4955883257394691,0.5044116742605309,0.4955883257394691,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,0.5005672809666075,0.49181117994122275,0.0,0.9923784609078303,-0.007621539092169671,return_to_50_50,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0005672809666075264,-0.008188820058777265,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,-0.007621539092169671,-0.211107031505128,-0.23468915865958012,0.020839779640714085,1.1315919631117592,balanced_reversion_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.5,0.5,hold_previous_allocation,2020-01-02,1,0.9923784609078303,-0.007621539092169671,-0.007621539092169671,0.5044116742605309,0.49558832573946904,0.9926964823357763,-0.007303517664223658,-0.007303517664223658,GGBR,0.0,-0.0003180214279460136,-0.0003180214279460136
2020-01-06,GGBR,8.539074897766113,10.671468734741213,0.5,0.5,0.5014582848517446,0.4985417151482554,0.5014582848517446,0.4985417151482554,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,0.493477068026539,0.4906069184857883,0.0,0.9840839865123273,-0.008358176564931874,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,-0.0065229319734609725,-0.009393081514211712,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,-0.015916013487672687,-0.22292103056243873,-0.2343832740449701,0.020901214841811865,0.5484008259463333,balanced_reversion_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.5,0.5,hold_previous_allocation,2020-01-03,1,0.9840839865123273,-0.008358176564931874,-0.015916013487672687,0.5014582848517446,0.4985417151482554,0.9857050087288001,-0.007042911636521154,-0.01429499127119993,GGBR,0.0,-0.0016210222164727561,-0.0016210222164727561
2020-01-07,GGBR,8.637225151062012,10.83911418914795,0.5,0.5,0.5004185696185822,0.4995814303814178,0.5004185696185822,0.4995814303814178,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,0.4991492163332828,0.49831420056935744,0.0,0.9974634169026402,0.013595821671410935,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008507836667172239,-0.0016857994306426164,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,-0.0025365830973598236,-0.22707990764369113,-0.23408221150995995,0.02078976917235154,0.3368148923741412,balanced_reversion_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.5,0.5,return_to_50_50,2020-01-06,1,0.9974634169026402,0.013595821671410935,-0.0025365830973598236,0.5004185696185822,0.4995814303814178,0.9838833461243285,-0.0018480809048752045,-0.016116653875671516,GGBR,0.0,0.013580070778311693,0.013580070778311693
2020-01-08,GGBR,8.68139362335205,10.881021499633787,0.5,0.5,0.5007290327645764,0.49927096723542363,0.5007290327645764,0.49927096723542363,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,0.5017017326732673,0.5002408347535116,0.0,1.001942567426779,0.004490541154930527,return_to_50_50,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0017017326732673267,0.00024083475351148898,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,0.0019425674267790072,-0.22583805338430318,-0.23387217062080878,0.02072515067574957,0.3876506068496908,balanced_reversion_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.5,0.5,return_to_50_50,2020-01-07,1,1.001942567426779,0.004490541154930527,0.0019425674267790072,0.5007290327645764,0.4992709672354236,0.980383392509256,-0.0035572851485486945,-0.01961660749074401,GGBR,0.0,0.021559174917523016,0.021559174917523016
2020-01-09,GGBR,8.617595672607422,10.823394775390623,0.5,0.5,0.500212583422553,0.49978741657744696,0.500212583422553,0.49978741657744696,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,0.4980148197399006,0.49759152093306913,0.0,0.9956063406729697,-0.006323942069935362,return_to_50_50,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019851802600993978,-0.002408479066930923,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,-0.004393659327030286,-0.2279038527676831,-0.23355325392468504,0.020534776865672184,0.2751138322055982,balanced_reversion_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.5,0.5,return_to_50_50,2020-01-08,1,0.9956063406729697,-0.006323942069935362,-0.004393659327030286,0.500212583422553,0.499787416577447,0.9778533055586011,-0.0025807117603035,-0.02214669444139894,GGBR,0.0,0.017753035114368654,0.017753035114368654
2020-01-10,GGBR,8.71574592590332,10.970083236694336,0.5,0.5,0.49967839777760875,0.5003216022223913,0.49967839777760875,0.5003216022223913,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,0.5036869680466444,0.504335332470777,0.0,1.0080223005174214,0.012470752080645964,return_to_50_50,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.003686968046644351,0.004335332470776919,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,0.008022300517421366,-0.23004059557609846,-0.23330506958414013,0.020411234037191254,0.1599351612986005,balanced_reversion_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.5,0.5,return_to_50_50,2020-01-09,1,1.0080223005174214,0.012470752080645964,0.008022300517421366,0.49967839777760875,0.5003216022223912,0.9741087768716319,-0.0038293358172267755,-0.025891223128368113,GGBR,0.0,0.03391352364578948,0.03391352364578948
2020-01-13,GGBR,9.127975463867188,11.441575050354004,0.5,0.5,0.5007111133596038,0.49928888664039617,0.5007111133596038,0.49928888664039617,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,0.5275099027537239,0.5260115563852777,0.0,1.0535214591390016,0.04513705559710868,return_to_50_50,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.027509902753723895,0.026011556385277735,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,0.05352145913900164,-0.2259097311528624,-0.23315077369815648,0.020361390392786807,0.3556261338547534,balanced_reversion_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.5,0.5,return_to_50_50,2020-01-10,1,1.0535214591390016,0.04513705559710868,0.05352145913900164,0.5007111133596038,0.49928888664039617,0.9894748382852758,0.015774482048085403,-0.010525161714724174,GGBR,0.0,0.06404662085372581,0.06404662085372581
2020-01-14,GGBR,9.029827117919922,11.22154712677002,0.5,0.5,0.5028628756580062,0.49713712434199375,0.5028628756580062,0.49713712434199375,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,0.5218378646735354,0.515896058298408,0.0,1.0377339229719436,-0.014985490831824655,return_to_50_50,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.021837864673535396,0.015896058298407983,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,0.037733922971943556,-0.21730255873175475,-0.23296887920988357,0.02032254947302438,0.7708836186583721,balanced_reversion_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.5,0.5,hold_previous_allocation,2020-01-13,1,1.0377339229719436,-0.014985490831824655,0.037733922971943556,0.5028628756580062,0.4971371243419937,0.9920639605981126,0.002616663115277973,-0.007936039401887363,GGBR,0.0,0.04566996237383092,0.04566996237383092
2020-01-15,GGBR,9.054366111755373,11.05390167236328,0.5,0.5,0.507303933657108,0.492696066342892,0.507303933657108,0.492696066342892,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,0.5232559844201379,0.5081887762148387,0.0,1.0314447606349766,-0.006060476773232515,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.023255984420137876,0.008188776214838725,0.05779046020027724,0.04597370152888198,8.651947021484375,10.87578296661377,0.03144476063497659,-0.1995363735014566,-0.23286822298967766,0.0203688010552622,1.6364168611490228,balanced_reversion_rotation,Acceptable statistical quality and medium spread opportunity. The strategy uses moderate ON/PN rotation.,0.0,1.0,overweight_pn,2020-01-14,1,1.0314447606349766,-0.006060476773232515,0.03144476063497659,0.507303933657108,0.4926960663428919,0.9817918075784539,-0.010354325353645222,-0.018208192421546143,GGBR,0.0,0.04965295305652273,0.04965295305652273
