,strategy_portfolio_pre_tax_value,strategy_portfolio_pre_tax_return,strategy_portfolio_pre_tax_cumulative_return,benchmark_50_50_portfolio_value,benchmark_50_50_portfolio_return,benchmark_50_50_portfolio_cumulative_return,ibovespa_portfolio_value,ibovespa_portfolio_return,ibovespa_portfolio_cumulative_return,portfolio_daily_realized_pnl,portfolio_daily_gross_sale_value,portfolio_daily_gross_buy_value,portfolio_daily_transaction_cost,portfolio_tax_paid,portfolio_cumulative_tax_paid,strategy_portfolio_value,strategy_portfolio_return,strategy_portfolio_cumulative_return,strategy_minus_50_50,strategy_minus_ibovespa,strategy_pre_tax_minus_50_50,strategy_pre_tax_minus_ibovespa
2020-01-02,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21000000000000002,0.20958041958041962,0.0004195804195804196,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.9974153873431524,-0.002584612656847618,-0.002584612656847618,0.9923675340910668,-0.007632465908933184,-0.007632465908933184,0.9926964823357762,-0.007303517664223769,-0.007303517664223769,0.0,0.0,0.0,0.0,0.0,0.0,0.9974153873431524,-0.002584612656847618,-0.002584612656847618,0.005047853252085566,0.004718905007376151,0.005047853252085566,0.004718905007376151
2020-01-06,1.001072891658114,0.0036669820431627365,0.0010728916581139725,0.997655824992145,0.005328964037423667,-0.0023441750078549983,0.9857050087288002,-0.007042911636520932,-0.01429499127119982,0.004834395518652413,0.04479443547869237,0.044704936107106574,8.949937158579895e-05,0.0,0.0,1.001072891658114,0.0036669820431627365,0.0010728916581139725,0.003417066665968971,0.015367882929313792,0.003417066665968971,0.015367882929313792
2020-01-07,0.9946006381282239,-0.006465316945272415,-0.005399361871776143,0.9921105241221571,-0.005558330569594538,-0.007889475877842944,0.9838833461243284,-0.0018480809048754265,-0.016116653875671627,0.0,0.0,0.0,0.0,0.0,0.0,0.9946006381282239,-0.006465316945272415,-0.005399361871776143,0.0024901140060668014,0.010717292003895484,0.0024901140060668014,0.010717292003895484
2020-01-08,0.9887638792505974,-0.005868444734371869,-0.011236120749402612,0.9858377655160407,-0.0063226409292116426,-0.014162234483959257,0.980383392509256,-0.0035572851485485835,-0.01961660749074401,0.0,0.0,0.0,0.0,0.0,0.0,0.9887638792505974,-0.005868444734371869,-0.011236120749402612,0.0029261137345566457,0.008380486741341397,0.0029261137345566457,0.008380486741341397
2020-01-09,0.984783710706213,-0.0040253984069493765,-0.015216289293787044,0.9811617480954615,-0.004743191612396336,-0.018838251904538472,0.9778533055586011,-0.0025807117603035,-0.02214669444139894,0.0,0.024975024975024976,0.02492512482522473,4.99001498002497e-05,0.0,0.0,0.984783710706213,-0.0040253984069493765,-0.015216289293787044,0.003621962610751428,0.0069304051476118955,0.003621962610751428,0.0069304051476118955
2020-01-10,0.9821226877920296,-0.0027021394497630524,-0.017877312207970397,0.9770203106167346,-0.004220952851826887,-0.022979689383265445,0.9741087768716318,-0.0038293358172268865,-0.025891223128368224,-0.00033238376997874906,0.004592935807375786,0.004583759112455955,9.176694919831741e-06,0.0,0.0,0.9821226877920296,-0.0027021394497630524,-0.017877312207970397,0.0051023771752950475,0.008013910920397826,0.0051023771752950475,0.008013910920397826
2020-01-13,0.9940952150635254,0.012190459929616315,-0.005904784936474616,0.9872324976896575,0.010452379507317033,-0.012767502310342516,0.9894748382852758,0.015774482048085403,-0.010525161714724174,0.0,0.0,0.0,0.0,0.0,0.0,0.9940952150635254,0.012190459929616315,-0.005904784936474616,0.006862717373867899,0.0046203767782495575,0.006862717373867899,0.0046203767782495575
2020-01-14,0.9929166487401246,-0.0011855668406224318,-0.007083351259875359,0.9880758934525741,0.0008543030794572193,-0.011924106547425928,0.9920639605981127,0.002616663115278195,-0.007936039401887252,0.0,0.0,0.0,0.0,0.0,0.0,0.9929166487401246,-0.0011855668406224318,-0.007083351259875359,0.004840755287550569,0.0008526881420118926,0.004840755287550569,0.0008526881420118926
2020-01-15,0.9934319671216874,0.0005189946026351588,-0.006568032878312646,0.9860581710929592,-0.0020420722466615304,-0.013941828907040765,0.981791807578454,-0.010354325353645222,-0.018208192421546032,0.0,0.0,0.0,0.0,0.0,0.0,0.9934319671216874,0.0005189946026351588,-0.006568032878312646,0.007373796028728119,0.011640159543233386,0.007373796028728119,0.011640159543233386
2020-01-16,1.000235058650322,0.006848069876737917,0.00023505865032191764,0.9919286299403806,0.005953460981834802,-0.008071370059619443,0.9842375582974203,0.0024911093167487852,-0.015762441702579677,0.002637545104706396,0.0526375451047064,0.05253237518441728,0.0001051699202891237,0.0,0.0,1.000235058650322,0.006848069876737917,0.00023505865032191764,0.00830642870994136,0.015997500352901595,0.00830642870994136,0.015997500352901595
2020-01-17,1.0160563957216155,0.0158176190031194,0.016056395721615546,1.0087482448135723,0.016956476872940662,0.008748244813572281,0.9991988057989595,0.015200850013709966,-0.0008011942010405226,0.006366994596298884,0.036366994596298885,0.036294333268434155,7.266132786473304e-05,0.0,0.0,1.0160563957216155,0.0158176190031194,0.016056395721615546,0.007308150908043265,0.01685758992265607,0.007308150908043265,0.01685758992265607
2020-01-20,1.0165218347380847,0.0004580838410437327,0.016521834738084662,1.0067902899086618,-0.0019409747823375678,0.006790289908661817,1.0024373170957976,0.003241108053815722,0.002437317095797642,0.0,0.0,0.0,0.0,0.0,0.0,1.0165218347380847,0.0004580838410437327,0.016521834738084662,0.009731544829422845,0.01408451764228702,0.009731544829422845,0.01408451764228702
2020-01-21,1.0083064420715984,-0.008081865421614931,0.008306442071598363,0.9970369905176756,-0.009687518333009626,-0.002963009482324419,0.9869531849577899,-0.015446484158099238,-0.013046815042210058,0.0005563347038652092,0.002558048118495817,0.002552937133244069,5.110985251739886e-06,0.0,0.0,1.0083064420715984,-0.008081865421614931,0.008306442071598363,0.011269451553922782,0.02135325711380842,0.011269451553922782,0.02135325711380842
2020-01-22,1.0066686968045047,-0.00162425349949058,0.006668696804504659,0.9966581512983579,-0.0003799650593916404,-0.003341848701642114,0.9984650805832693,0.011664074650077572,-0.0015349194167306734,0.0021466052030399262,0.035293771837257,0.03522325481060913,7.051702664786613e-05,0.0,0.0,1.0066686968045047,-0.00162425349949058,0.006668696804504659,0.010010545506146773,0.008203616221235333,0.010010545506146773,0.008203616221235333
2020-01-23,1.019260670555578,0.012508557970506429,0.019260670555578008,1.0074084909549312,0.01078638612704741,0.007408490954931235,1.0080541101262515,0.009603770556883662,0.008054110126251457,-0.00030621507729031047,0.03491703973331882,0.03484727541816734,6.976431515148614e-05,0.0,0.0,1.019260670555578,0.012508557970506429,0.019260670555578008,0.011852179600646773,0.01120656042932655,0.011852179600646773,0.01120656042932655
2020-01-24,1.0161769157115201,-0.003025482031379645,0.016176915711520135,1.0041156669826239,-0.0032686085156836686,0.004115666982623889,0.9983385762357369,-0.009637909109162623,-0.001661423764263148,0.0,0.0,0.0,0.0,0.0,0.0,1.0161769157115201,-0.003025482031379645,0.016176915711520135,0.012061248728896246,0.017838339475783282,0.012061248728896246,0.017838339475783282
2020-01-27,0.989477948295892,-0.026273936164879053,-0.010522051704108026,0.980591183757986,-0.023428061126990585,-0.01940881624201396,0.9654980476162364,-0.032895181455700695,-0.034501952383763634,0.0011070672577248818,0.037537821257892894,0.03746282061601899,7.500064187391188e-05,0.0,0.0,0.989477948295892,-0.026273936164879053,-0.010522051704108026,0.008886764537905933,0.023979900679655608,0.008886764537905933,0.023979900679655608
2020-01-28,0.9950418428035404,0.005623060642463651,-0.004958157196459645,0.9849740397037183,0.004469605701466373,-0.01502596029628167,0.982339993084429,0.01744379029017673,-0.017660006915571014,0.0,0.0,0.0,0.0,0.0,0.0,0.9950418428035402,0.005623060642463651,-0.004958157196459756,0.010067803099821915,0.012701849719111258,0.010067803099822026,0.012701849719111369
2020-01-29,0.9896063940444603,-0.005462532855669333,-0.010393605955539731,0.9772943354855055,-0.00779685951979292,-0.022705664514494517,0.9731136093377077,-0.009392250963692894,-0.02688639066229226,0.0,0.0,0.0,0.0,0.0,0.0,0.9896063940444602,-0.005462532855669333,-0.010393605955539842,0.012312058558954675,0.016492784706752417,0.012312058558954786,0.016492784706752528
2020-01-30,0.9912314160063754,0.001642089189898721,-0.008768583993624568,0.9783462634244848,0.0010763675801483963,-0.02165373657551517,0.9743196174508533,0.001239329202236128,-0.02568038254914673,0.00016648197169762068,0.03416370299788983,0.034095443851040894,6.825914684893072e-05,0.0,0.0,0.9912314160063752,0.001642089189898721,-0.00876858399362479,0.01288515258189038,0.01691179855552194,0.012885152581890602,0.01691179855552216
2020-01-31,0.9746093251325016,-0.016769132419998778,-0.025390674867498353,0.9659860818209011,-0.012633749486934853,-0.034013918179098934,0.9594174053114959,-0.015294993421508418,-0.040582594688504114,0.0,0.0,0.0,0.0,0.0,0.0,0.9746093251325014,-0.016769132419998778,-0.025390674867498575,0.00862324331160036,0.01519191982100554,0.008623243311600581,0.015191919821005762
2020-02-03,0.9807605614816757,0.006311489322491148,-0.019239438518324325,0.9683284666689815,0.0024248639728483568,-0.031671533331018464,0.9667377902220575,0.007630031381580915,-0.033262209777942475,0.00012969527445041512,0.0024790154413303167,0.002474062363525461,4.953077804855778e-06,0.0,0.0,0.9807605614816756,0.006311489322491148,-0.019239438518324437,0.012432094812694028,0.014022771259618039,0.012432094812694139,0.01402277125961815
2020-02-04,0.9907624711627616,0.010198115701120392,-0.009237528837238385,0.978566556910348,0.010572951837908073,-0.021433443089652005,0.9745641925227497,0.008095682593409759,-0.025435807477250272,0.0,0.0,0.0,0.0,0.0,0.0,0.9907624711627615,0.010198115701120392,-0.009237528837238496,0.012195914252413509,0.016198278640011776,0.01219591425241362,0.016198278640011887
