,strategy_portfolio_pre_tax_value,strategy_portfolio_pre_tax_return,strategy_portfolio_pre_tax_cumulative_return,benchmark_50_50_portfolio_value,benchmark_50_50_portfolio_return,benchmark_50_50_portfolio_cumulative_return,ibovespa_portfolio_value,ibovespa_portfolio_return,ibovespa_portfolio_cumulative_return,portfolio_daily_realized_pnl,portfolio_daily_gross_sale_value,portfolio_daily_gross_buy_value,portfolio_daily_transaction_cost,portfolio_tax_paid,portfolio_cumulative_tax_paid,strategy_portfolio_value,strategy_portfolio_return,strategy_portfolio_cumulative_return,strategy_minus_50_50,strategy_minus_ibovespa,strategy_pre_tax_minus_50_50,strategy_pre_tax_minus_ibovespa
2020-01-02,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21000000000000002,0.21000000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.9974153873431524,-0.002584612656847618,-0.002584612656847618,0.9923675340910668,-0.007632465908933184,-0.007632465908933184,0.9926964823357762,-0.007303517664223769,-0.007303517664223769,0.0,0.0,0.0,0.0,0.0,0.0,0.9974153873431524,-0.002584612656847618,-0.002584612656847618,0.005047853252085566,0.004718905007376151,0.005047853252085566,0.004718905007376151
2020-01-06,1.0011624805290713,0.0037568030666743635,0.001162480529071308,0.997655824992145,0.005328964037423667,-0.0023441750078549983,0.9857050087288002,-0.007042911636520932,-0.01429499127119982,0.004186936716824965,0.09418693671682497,0.09418693671682497,0.0,0.0,0.0,1.0011624805290713,0.0037568030666743635,0.001162480529071308,0.0035066555369263064,0.015457471800271128,0.0035066555369263064,0.015457471800271128
2020-01-07,0.9949003677770072,-0.006254841620467855,-0.0050996322229928115,0.9921105241221571,-0.005558330569594538,-0.007889475877842944,0.9838833461243284,-0.0018480809048754265,-0.016116653875671627,0.0,0.0,0.0,0.0,0.0,0.0,0.9949003677770072,-0.006254841620467855,-0.0050996322229928115,0.0027898436548501326,0.011017021652678816,0.0027898436548501326,0.011017021652678816
2020-01-08,0.9890021007447736,-0.005928500202902365,-0.010997899255226429,0.9858377655160407,-0.0063226409292116426,-0.014162234483959257,0.980383392509256,-0.0035572851485485835,-0.01961660749074401,0.0,0.0,0.0,0.0,0.0,0.0,0.9890021007447736,-0.005928500202902365,-0.010997899255226429,0.0031643352287328286,0.00861870823551758,0.0031643352287328286,0.00861870823551758
2020-01-09,0.9851738568691927,-0.0038708147057503473,-0.014826143130807323,0.9811617480954615,-0.004743191612396336,-0.018838251904538472,0.9778533055586011,-0.0025807117603035,-0.02214669444139894,0.0,0.025,0.025,0.0,0.0,0.0,0.9851738568691927,-0.0038708147057503473,-0.014826143130807323,0.004012108773731149,0.0073205513105916165,0.004012108773731149,0.0073205513105916165
2020-01-10,0.9826338461042305,-0.0025782360618399336,-0.017366153895769454,0.9770203106167346,-0.004220952851826887,-0.022979689383265445,0.9741087768716318,-0.0038293358172268865,-0.025891223128368224,-0.00033238376997874906,0.004592935807375786,0.004592935807375786,0.0,0.0,0.0,0.9826338461042305,-0.0025782360618399336,-0.017366153895769454,0.005613535487495991,0.00852506923259877,0.005613535487495991,0.00852506923259877
2020-01-13,0.9944060143174168,0.011980218531916442,-0.00559398568258318,0.9872324976896575,0.010452379507317033,-0.012767502310342516,0.9894748382852758,0.015774482048085403,-0.010525161714724174,0.0,0.0,0.0,0.0,0.0,0.0,0.9944060143174168,0.011980218531916442,-0.00559398568258318,0.007173516627759335,0.004931176032140994,0.007173516627759335,0.004931176032140994
2020-01-14,0.9927766764730341,-0.0016385036101185246,-0.0072233235269658636,0.9880758934525741,0.0008543030794572193,-0.011924106547425928,0.9920639605981127,0.002616663115278195,-0.007936039401887252,0.0,0.0,0.0,0.0,0.0,0.0,0.9927766764730341,-0.0016385036101185246,-0.0072233235269658636,0.004700783020460064,0.000712715874921388,0.004700783020460064,0.000712715874921388
2020-01-15,0.9923744257028737,-0.000405177498316589,-0.007625574297126292,0.9860581710929592,-0.0020420722466615304,-0.013941828907040765,0.981791807578454,-0.010354325353645222,-0.018208192421546032,0.0,0.0,0.0,0.0,0.0,0.0,0.9923744257028737,-0.000405177498316589,-0.007625574297126292,0.006316254609914473,0.01058261812441974,0.006316254609914473,0.01058261812441974
2020-01-16,0.9994560393506029,0.007136029974486258,-0.0005439606493971016,0.9919286299403806,0.005953460981834802,-0.008071370059619443,0.9842375582974203,0.0024911093167487852,-0.015762441702579677,0.0,0.0,0.0,0.0,0.0,0.0,0.999456039350603,0.007136029974486258,-0.0005439606493969906,0.007527409410222452,0.015218481053182686,0.007527409410222341,0.015218481053182575
2020-01-17,1.015339824327185,0.015892429833034516,0.015339824327184948,1.0087482448135723,0.016956476872940662,0.008748244813572281,0.9991988057989595,0.015200850013709966,-0.0008011942010405226,0.006366994596298884,0.036366994596298885,0.036366994596298885,0.0,0.0,0.0,1.015339824327185,0.015892429833034516,0.015339824327184948,0.0065915795136126665,0.01614101852822547,0.0065915795136126665,0.01614101852822547
2020-01-20,1.0157737144015102,0.00042733483305723574,0.015773714401510208,1.0067902899086618,-0.0019409747823375678,0.006790289908661817,1.0024373170957976,0.003241108053815722,0.002437317095797642,0.0,0.0,0.0,0.0,0.0,0.0,1.0157737144015102,0.00042733483305723574,0.015773714401510208,0.00898342449284839,0.013336397305712566,0.00898342449284839,0.013336397305712566
