,realized_pnl,gross_sale_value,gross_buy_value,transaction_cost
2020-01-02,0.0,0.2222222222222222,0.2217782217782218,0.000444000444000444
2020-01-03,0.0,0.0,0.0,0.0
2020-01-06,-0.0007247702192734431,0.054830785336282106,0.0547212333176282,0.00010955201865391032
2020-01-07,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0,0.0
2020-01-10,-0.0002308220624852424,0.003189538755122074,0.0031831660503166353,6.372704805438708e-06
2020-01-13,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-26,0.010325591720940558,0.06582564722099606,0.06569412744632874,0.00013151977466732478
2020-02-27,-0.011020045780547253,0.044480009719508246,0.04439113857121752,8.887114829072576e-05
2020-02-28,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,-0.012368594038266985,0.043131461461788506,0.04304528471561111,8.617674617739961e-05
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,-0.00010248873408907899,0.04294279598152202,0.04285699618935115,8.579979217087318e-05
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,-0.013295577518911384,0.042935437011888476,0.04284965192295361,8.57850889348421e-05
2020-03-13,0.0,0.0,0.0,0.0
2020-03-16,-0.0015924352271966835,0.0011837010935441907,0.0011813360563942524,2.3650371499384432e-06
2020-03-17,-0.012016939316762855,0.04940297274669172,0.04930426550843659,9.870723825512832e-05
2020-03-18,0.0,0.0,0.0,0.0
2020-03-19,-0.0016698590501524762,0.003760013996436662,0.0037525014809592656,7.512515477395927e-06
2020-03-20,0.0,0.0,0.0,0.0
2020-03-23,-0.03435268248256507,0.02478517597405303,0.02473565514293603,4.952083111698907e-05
2020-03-24,-0.019680668970151003,0.025860053917989727,0.025808385478593147,5.1668439396582874e-05
2020-03-25,0.0002176343579791499,0.03279686496110921,0.032731336759388704,6.552820172049792e-05
2020-03-26,-0.02578056871167532,0.029357825724916554,0.029299168730461178,5.8656994455377734e-05
2020-03-27,-0.0010339139928334641,0.001924294921240811,0.001920450176143427,3.844745097384238e-06
2020-03-30,-0.0019863867692005927,0.027312781961260583,0.02725821096833099,5.4570992929591576e-05
2020-03-31,0.0061902306432515385,0.038769461246381594,0.038691999785349866,7.746146103173145e-05
2020-04-01,0.007706131420742312,0.06610791871231156,0.06597583495864061,0.00013208375367095216
2020-04-02,-0.00019739042390070564,0.0394774689318724,0.039398592870070456,7.887606180194286e-05
2020-04-03,0.0,0.0,0.0,0.0
2020-04-06,0.0,0.0,0.0,0.0
2020-04-07,-0.014347585845226801,0.02655292970623469,0.02649987689962883,5.305280660586353e-05
2020-04-08,0.0,0.0,0.0,0.0
2020-04-09,0.0,0.0,0.0,0.0
2020-04-13,0.0,0.0,0.0,0.0
2020-04-14,0.0,0.0,0.0,0.0
2020-04-15,0.0,0.0,0.0,0.0
2020-04-16,0.0,0.0,0.0,0.0
2020-04-17,0.0,0.0,0.0,0.0
2020-04-20,-0.008770048581572166,0.032428254120889274,0.03236346240436402,6.479171652525328e-05
2020-04-22,0.0,0.0,0.0,0.0
2020-04-23,-3.0967607697804686e-05,0.03233249479666621,0.032267894407462076,6.460038920412829e-05
2020-04-24,0.0,0.0,0.0,0.0
2020-04-27,0.0,0.0,0.0,0.0
2020-04-28,0.00213449081234159,0.039689621383561455,0.03961032144073716,7.929994282429861e-05
2020-04-29,-0.0028336083476326445,0.0338994902073291,0.033831758958163614,6.773124916549273e-05
2020-04-30,0.0,0.0,0.0,0.0
2020-05-04,0.0064292943129473515,0.07987137471184813,0.07971179154559069,0.0001595831662574388
2020-05-05,0.0,0.0,0.0,0.0
2020-05-06,0.0,0.0,0.0,0.0
2020-05-07,0.0,0.0,0.0,0.0
2020-05-08,0.001477091811222686,0.03603150825522338,0.03595951722973842,7.199102548496179e-05
2020-05-11,0.0,0.0,0.0,0.0
2020-05-12,0.00483910292704276,0.03133897982667159,0.031276364482362554,6.261534430903413e-05
2020-05-13,0.0,0.0,0.0,0.0
2020-05-14,0.0,0.0,0.0,0.0
2020-05-15,0.0,0.0,0.0,0.0
2020-05-18,-0.004511321382341152,0.03157711863457087,0.03151402748844785,6.309114612301872e-05
2020-05-19,0.0,0.0,0.0,0.0
2020-05-20,0.0,0.0,0.0,0.0
2020-05-21,0.0,0.0,0.0,0.0
2020-05-22,0.0,0.0,0.0,0.0
2020-05-25,0.0023623696520294547,0.044807963543914905,0.04471843714322776,8.952640068714268e-05
2020-05-26,0.0,0.0,0.0,0.0
2020-05-27,0.0,0.0,0.0,0.0
2020-05-28,0.0,0.0,0.0,0.0
2020-05-29,0.0,0.0,0.0,0.0
2020-06-01,0.007958572441134694,0.10693381160686907,0.10672015763762459,0.00021365396924449367
2020-06-02,0.0,0.0,0.0,0.0
2020-06-03,0.0,0.0,0.0,0.0
2020-06-04,0.0,0.0,0.0,0.0
2020-06-05,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0
2020-06-09,-0.000874110826718037,0.0029932303386427136,0.002987249858445625,5.980480197088338e-06
2020-06-10,0.0,0.0,0.0,0.0
2020-06-12,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0
2020-06-16,0.0007097109419653984,0.0033222883184281667,0.003315650379729997,6.637938698158164e-06
2020-06-17,0.0,0.0,0.0,0.0
2020-06-18,0.0,0.0,0.0,0.0
2020-06-19,0.0,0.0,0.0,0.0
2020-06-22,0.009128606657427558,0.04064263414587541,0.040561430081647885,8.12040642275233e-05
2020-06-23,0.0,0.0,0.0,0.0
2020-06-24,0.0,0.0,0.0,0.0
2020-06-25,0.0,0.0,0.0,0.0
2020-06-26,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0
2020-06-30,0.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,0.0
2020-07-02,0.0035074194316074402,0.0418323544808874,0.04174877335305345,8.358112783394085e-05
2020-07-03,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0
2020-07-07,0.0,0.0,0.0,0.0
2020-07-08,0.0,0.0,0.0,0.0
2020-07-09,0.0,0.0,0.0,0.0
2020-07-10,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0
2020-07-14,0.0,0.0,0.0,0.0
2020-07-15,0.001392699293311441,0.003892498503700227,0.0038847212839126137,7.77721978761284e-06
2020-07-16,0.0,0.0,0.0,0.0
2020-07-17,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0
2020-07-21,0.0,0.0,0.0,0.0
2020-07-22,0.0363073601348268,0.08545178557048186,0.0852810527321792,0.00017073283830266106
2020-07-23,0.0,0.0,0.0,0.0
2020-07-24,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0
2020-07-28,0.0,0.0,0.0,0.0
2020-07-29,0.10768272085524577,0.18202869749972045,0.18166500379842232,0.00036369370129814277
2020-07-30,0.09643977189202774,0.1707857485365024,0.1704445182696962,0.00034123026680619865
2020-07-31,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0
2020-08-04,0.016496243879297465,0.0629738551974887,0.06284803330898224,0.00012582188850647095
2020-08-05,0.0,0.0,0.0,0.0
2020-08-06,0.0,0.0,0.0,0.0
2020-08-07,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0
2020-08-11,0.0062363383053827635,0.04798511165843621,0.047889237309468306,9.587434896790451e-05
2020-08-12,0.0,0.0,0.0,0.0
2020-08-13,0.0,0.0,0.0,0.0
2020-08-14,-0.021900968654722575,0.21700182568831894,0.2165682556070236,0.00043357008129534257
2020-08-17,0.0,0.0,0.0,0.0
2020-08-18,0.0,0.0,0.0,0.0
