pair,passed_hard_filters,rejection_reasons,observations,missing_ratio,clean_observations,correlation,spread_volatility,cointegration_pvalue,adf_pvalue,avg_volume_on,avg_volume_pn,min_average_volume,correlation_score,cointegration_score,adf_score,spread_opportunity_score,observation_score,quality_score,selected_for_analysis
PETR,True,,2468,0.0,2468,0.9375381634378659,0.09120621187519404,0.5388664833234934,0.3196086522515986,10485188.828606158,41315910.10656402,10485188.828606158,0.9375381634378659,0.15,0.15,0.75,1.0,0.5612614490313598,True
BBDC,True,,2468,0.0,2468,0.8391135580282855,0.11996546267144113,0.1714762254160297,0.052584517305755224,3112591.8537277146,19127833.776742302,3112591.8537277146,0.8391135580282855,0.4,0.65,0.75,1.0,0.6942340674084856,True
ITUB,True,,2468,0.0,2468,0.8691438008880092,0.0634345140273954,0.35702424920688447,0.16520715435704125,449049.278363047,22240114.19286872,449049.278363047,0.8691438008880092,0.15,0.4,0.45,1.0,0.5457431402664028,True
CMIG,True,,2468,0.0,2468,0.8307100528204265,0.11600457291253424,0.3529278129912249,0.24170043016973963,883864.1235818476,12170076.040923825,883864.1235818476,0.8307100528204265,0.15,0.15,0.75,1.0,0.529213015846128,True
USIM,False,Correlation below minimum threshold,2468,0.0,2468,0.558829075051706,0.3947256632551968,0.5366021795644618,0.4354249885577627,352006.69732576987,11525784.251215558,352006.69732576987,0.558829075051706,0.15,0.15,0.65,1.0,,False
ITSA,False,Correlation below minimum threshold,2468,0.0,2468,0.5759595000544283,0.14089537414396103,0.5087137119622701,0.32987119921598307,652460.9740680713,25085491.64667747,652460.9740680713,0.5759595000544283,0.15,0.15,1.0,1.0,,False
GGBR,True,,2468,0.0,2468,0.8345490073450648,0.08404055769892536,0.07662011747481003,0.023563743192992048,278914.2670178282,10976840.985008104,278914.2670178282,0.8345490073450648,0.65,0.85,0.75,1.0,0.7953647022035194,True
BRAP,True,,2468,0.0,2468,0.7707521554871807,0.07544988458584607,0.06224145667867829,0.0390124318399216,55398.87560777958,3890299.7082658024,55398.87560777958,0.7707521554871807,0.65,0.85,0.45,1.0,0.7312256466461542,True
GOAU,True,,2468,0.0,2468,0.8204477442644248,0.09042018618382688,0.07801468995345047,0.11267692736210877,101212.91207455429,9811910.256482983,101212.91207455429,0.8204477442644248,0.65,0.4,0.75,1.0,0.7011343232793275,True
TASA,True,,2468,0.0,2468,0.6061532300979513,0.20192560667582216,0.0005416172869459994,0.02377142532024627,55499.58346839546,295576.8326580227,55499.58346839546,0.6061532300979513,1.0,0.85,0.65,1.0,0.7993459690293854,True
OIBR,True,,2468,0.0,2468,0.7903660763738991,0.11988487927205554,0.0005962613678700637,9.274687818614202e-05,104706.66045380876,32149.28241491086,32149.28241491086,0.7903660763738991,1.0,1.0,0.75,1.0,0.8996098229121697,True
POMO,False,Correlation below minimum threshold,2468,0.0,2468,0.5977922103902849,0.08893140784528006,0.03317656889909462,0.04724157994340967,195016.37682333874,4168922.2670178283,195016.37682333874,0.5977922103902849,0.85,0.85,0.75,1.0,,False
SANB,False,Correlation below minimum threshold,2468,0.0,2468,0.3246325998802413,0.16134162750909606,0.33884157540421656,0.1546382895876754,13860.632495948135,22704.171799027554,13860.632495948135,0.3246325998802413,0.15,0.4,1.0,1.0,,False
KLBN,False,Correlation below minimum threshold,2468,0.0,2468,0.08550417779896123,0.3474120615384483,0.38693637807671627,0.18738478097795835,19624.553889789302,5981920.0032414915,19624.553889789302,0.08550417779896123,0.15,0.4,0.65,1.0,,False
SAPR,False,Correlation below minimum threshold,2468,0.0,2468,0.0483195628228723,0.6807860656085253,0.47390571318727936,0.19781350732397218,34866.84116693679,1608092.744732577,34866.84116693679,0.0483195628228723,0.15,0.4,0.65,1.0,,False
UNIP,False,Correlation below minimum threshold,2468,0.0,2468,0.3168296101597694,0.19494107048675677,0.00013182965199976267,0.03461555384228115,8477.388168557536,248300.4635332253,8477.388168557536,0.3168296101597694,1.0,0.85,1.0,1.0,,False
BRKM,False,Correlation below minimum threshold,2468,0.0,2468,0.5614494657653324,0.13932089652024127,0.012688910910034585,0.1863416065552715,8808.344003241491,1733753.23541329,8808.344003241491,0.5614494657653324,0.85,0.4,1.0,1.0,,False
TAEE,False,Correlation below minimum threshold,653,0.0,653,0.09141503507112578,0.06909632001957225,0.0007106029705847873,9.025868408544209e-05,4313.323124042879,8006.584992343032,4313.323124042879,0.09141503507112578,1.0,1.0,0.45,0.2645867098865478,,False
ALUP,False,Correlation below minimum threshold,799,0.0,799,0.03098165090002018,0.14207863919852556,0.04034481815667855,0.0026623356889808533,18829.454317897373,12595.932415519399,12595.932415519399,0.03098165090002018,0.85,1.0,1.0,0.32374392220421394,,False
RAPT,False,Correlation below minimum threshold,2468,0.0,2468,0.36514042335501223,0.09805600964799949,0.0003667231811042383,0.0019390599740733436,7200.676256077796,1528640.923419773,7200.676256077796,0.36514042335501223,1.0,1.0,0.75,1.0,,False
BRSR,False,Correlation below minimum threshold,2468,0.0,2468,0.12803784487561298,0.20025478925392878,0.1265421370003469,0.03720598465667377,2533.1884116693677,979866.6632901134,2533.1884116693677,0.12803784487561298,0.4,0.85,0.65,1.0,,False
